IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,45d459a5-33fc-37fa-bcfa-16cc05ebe2b1,"Methane, monochloro-, R-40",000074-87-3,indoor,Emission to air,kg,16
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,5ec977c1-2a6f-3d2d-9b7a-dd7a89f88801,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",000811-97-2,indoor,Emission to air,kg,"1,300"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,9cad9d36-b3ed-3822-9932-2ba6258a5a32,"Methane, tetrachloro-, CFC-10",000056-23-5,indoor,Emission to air,kg,"-3,900"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,dc01172a-4aba-3b14-8c6f-92b0e8f456a6,Chloroform,000067-66-3,indoor,Emission to air,kg,30
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,877533da-3294-3f9a-9e43-a1014e96fb89,"Methane, trichlorofluoro-, CFC-11",000075-69-4,indoor,Emission to air,kg,-600
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,e5716f7d-435d-35b2-8f23-49ab146b45b3,"Methane, chlorodifluoro-, HCFC-22",000075-45-6,indoor,Emission to air,kg,"1,400"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,cf8009c5-f925-3001-82fa-fda83cd902d5,"Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124",002837-89-0,indoor,Emission to air,kg,480
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,81e9632c-4b9e-3f1c-b431-c4f0f6b4034d,"Methane, dichlorodifluoro-, CFC-12",000075-71-8,indoor,Emission to air,kg,"7,300"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,926e91c7-69bb-3673-a488-72bae997734c,"Ethane, 1,1,1-trichloro-, HCFC-140",000071-55-6,indoor,Emission to air,kg,-560
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,d8dd7aff-0ce7-3c3d-9143-71c26bb9a09e,"Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123",000306-83-2,indoor,Emission to air,kg,20
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,53b28283-1c71-358d-b5c6-d17d517d41ef,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",000076-13-1,indoor,Emission to air,kg,"2,200"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,46d70535-e74d-3c0e-8aa9-d52233b755d6,"Methane, bromo-, Halon 1001",000074-83-9,indoor,Emission to air,kg,"-2,600"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,a93b9ed6-405e-3c97-840f-53427af913e8,"Methane, dichloro-, HCC-30",000075-09-2,indoor,Emission to air,kg,10
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,12bb7ba6-0cb3-39bb-b920-a7aef7adb5ce,"Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b",001717-00-6,indoor,Emission to air,kg,-5
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,7ae371ab-8532-11e0-9d78-0800200c9a66,Carbon monoxide,000630-08-0,low population density,Emission to air,kg,1
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,a9b63b1e-5f3d-4a4d-ad19-874738e9aca5,"Butane, perfluorocyclo-, PFC-318",000115-25-3,low population density,Emission to air,kg,"10,000"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,6bd9eb0f-0c83-449f-b666-49858dc8d824,"Hexane, perfluoro-",000355-42-0,low population density,Emission to air,kg,"9,000"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,7ae371a9-8532-11e0-9d78-0800200c9a66,Carbon dioxide,000124-38-9,low population density,Emission to air,kg,1
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,5e2e1740-1bb9-4157-b816-6cb5aa006437,"Methane, trifluoro-, HFC-23",000075-46-7,low population density,Emission to air,kg,"12,000"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,afd6d670-bbb0-4625-9730-04088a5b035e,Dinitrogen monoxide,010024-97-2,low population density,Emission to air,kg,296
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,ed61638a-5a4b-4869-af8e-862970239915,"Propane, 1,1,1,3,3,3-hexafluoro-, HCFC-236fa",000690-39-1,low population density,Emission to air,kg,"9,400"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,3363fb55-0e51-4aca-bdd9-14f95522556d,"Propane, perfluoro-",000076-19-7,low population density,Emission to air,kg,"8,600"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,1346c00b-3aa0-4f3b-a036-b2060128dde9,"Propane, 1,1,1,2,3,3,3-heptafluoro-, HFC-227ea",000431-89-0,low population density,Emission to air,kg,"3,500"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,88d2f5d9-2a49-41c5-9208-0609dc1c3a54,"Ethane, 1,1,2-trifluoro-, HFC-143",,low population density,Emission to air,kg,330
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,8fbe2c56-c213-4501-b95e-ff57a76fbd6f,"Methane, difluoro-, HFC-32",000075-10-5,low population density,Emission to air,kg,550
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,b353e7d2-5b94-4b6e-a3e5-de0a10bef851,"Methane, tetrafluoro-, R-14",000075-73-0,low population density,Emission to air,kg,"5,700"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,20408dd0-8534-11e0-9d78-0800200c9a66,Methane,000074-82-8,low population density,Emission to air,kg,23
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,f03140cf-f86a-40a1-83df-a36f3715636d,"Pentane, 2,3-dihydroperfluoro-, HFC-4310mee",138495-42-8,low population density,Emission to air,kg,"1,500"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,0c01bc32-1f7a-4159-8082-a4d90f715caa,"Pentane, perfluoro-",000678-26-2,low population density,Emission to air,kg,"8,900"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,5253e322-7de5-42aa-9167-daf22ff44031,"Ethane, 1,1,1-trifluoro-, HFC-143a",000420-46-2,low population density,Emission to air,kg,"4,300"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,1c4a106a-53bc-40f5-bcae-d30ab191dbfe,"Ethane, 1,1-difluoro-, HFC-152a",000075-37-6,low population density,Emission to air,kg,120
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,ab11f7a2-de74-4544-9e4a-3dd5d78b61cd,"Methane, fluoro-, HFC-41",000593-53-3,low population density,Emission to air,kg,97
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,032f324c-555e-450f-bc87-f012497f0e19,"Propane, 1,1,2,2,3-pentafluoro-, HFC-245ca",000679-86-7,low population density,Emission to air,kg,640
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,4722867f-5c06-4dbe-9676-e29c7b1efe54,"Butane, perfluoro-",000355-25-9,low population density,Emission to air,kg,"8,600"
CML-IA non-baseline,97a690cc-072b-3f5d-91da-4d78fd3cf0e6,Lower limit of net global warming,kg CO2 eq,7f782e79-136b-4266-8468-0960c2662273,"Ethane, 1,1,2,2-tetrafluoro-, HFC-134",000359-35-3,low population density,Emission to air,kg,"1,100"
